stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_6_e_None,mt_6_e_0.01,mt_6_e_0.1,mt_6_e_1,mt_6_e_10,mt_6_e_100,mt_16_e_None,mt_16_e_0.01,mt_16_e_0.1,mt_16_e_1,mt_16_e_10,mt_16_e_100
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
ntrips_double,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
ntrips_single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_places,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.003,0.0,0.0,0.0
uid,0.0,842.682,79.359,6.154,0.699,0.0,0.0,634.12,110.236,4.577,1.059,0.0,0.0,2704.764,50.596,5.948,1.524,0.316,0.0,5548.138,418.988,18.834,2.214,0.316,0.0,1837.21,198.701,26.891,1.874,0.483,0.0,3753.881,205.454,32.039,2.394,0.632,0.0,6215.457,617.875,111.677,19.076,1.287
tid,0.0,331.289,49.44,10.023,0.972,0.0,0.0,1282.749,119.911,6.74,1.7,0.0,0.0,1423.877,246.094,13.679,2.838,0.0,0.0,1668.029,67.109,24.131,2.394,0.316,0.0,1960.627,197.566,35.803,3.055,0.966,0.0,2914.42,199.007,75.224,16.543,0.527,0.0,18601.22,1091.67,56.151,13.448,1.776
datetime,0.0,221.591,119.364,6.038,0.422,0.0,0.0,449.782,72.323,9.524,0.632,0.0,0.0,2144.008,87.731,19.426,0.972,0.0,0.0,6199.059,274.392,43.635,2.791,0.316,0.0,2115.306,326.559,36.359,3.206,0.316,0.0,5872.246,392.142,31.753,3.658,0.675,0.0,13593.62,5597.246,115.456,13.534,1.269
lat,0.0,1684.492,108.591,5.029,0.816,0.0,0.0,997.932,93.134,3.098,0.966,0.0,0.0,1380.205,152.042,28.845,0.707,0.0,0.0,1360.765,760.922,35.376,1.7,0.483,0.0,1116.194,236.042,20.555,5.953,0.632,0.0,5075.058,396.173,54.737,5.06,0.422,0.0,4972.329,1372.052,60.419,5.25,1.398
lng,0.0,900.336,25.306,4.715,0.422,0.0,0.0,314.668,94.497,14.906,0.422,0.0,0.0,1544.949,114.203,2.627,0.843,0.0,0.0,1035.39,357.24,23.367,1.989,0.316,0.0,1487.035,132.926,29.011,2.983,0.966,0.0,2859.793,505.062,38.67,6.651,0.632,0.0,15947.684,2172.243,118.822,9.24,0.966
trips_over_time_mre,0.0,0.105,0.284,0.038,0.004,0.0,0.023,0.1,0.105,0.039,0.047,0.025,0.04,0.113,0.067,0.142,0.032,0.035,0.029,0.175,0.019,0.224,0.078,0.039,0.013,0.25,0.026,0.211,0.025,0.019,0.012,0.224,0.024,0.206,0.056,0.012,0.0,0.253,0.098,0.216,0.081,0.007
trips_over_time_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trips_per_weekday,0.0,0.241,0.021,0.003,0.0,0.0,0.023,0.225,0.174,0.045,0.046,0.025,0.04,0.211,0.134,0.042,0.03,0.034,0.029,0.121,0.277,0.047,0.032,0.04,0.013,0.102,0.239,0.045,0.016,0.019,0.012,0.186,0.273,0.039,0.013,0.012,0.0,0.073,0.203,0.134,0.006,0.0
trips_per_hour,0.0,0.003,0.0,0.0,0.0,0.0,0.001,0.014,0.002,0.001,0.002,0.002,0.002,0.023,0.003,0.001,0.001,0.003,0.001,0.02,0.003,0.001,0.001,0.001,0.001,0.021,0.002,0.001,0.001,0.001,0.0,0.017,0.004,0.0,0.0,0.001,0.0,0.042,0.004,0.001,0.0,0.0
counts_per_tile_smape,0.0,0.01,0.003,0.0,0.0,0.0,0.001,0.016,0.003,0.002,0.001,0.001,0.001,0.011,0.007,0.003,0.001,0.001,0.0,0.008,0.007,0.002,0.0,0.0,0.0,0.026,0.007,0.003,0.0,0.0,0.0,0.016,0.007,0.002,0.0,0.0,0.0,0.033,0.009,0.005,0.001,0.0
rel_counts_per_tile_smape,0.0,0.01,0.003,0.0,0.0,0.0,0.001,0.015,0.007,0.004,0.002,0.001,0.001,0.011,0.006,0.003,0.001,0.001,0.0,0.01,0.007,0.002,0.0,0.0,0.0,0.025,0.007,0.003,0.0,0.0,0.0,0.016,0.007,0.003,0.0,0.0,0.0,0.032,0.009,0.005,0.001,0.0
counts_per_tile_emd,0.0,9.056,1.755,1.037,0.0,0.0,4.995,31.081,6.49,3.962,3.913,3.933,5.177,30.545,5.697,4.444,3.815,3.682,2.26,12.648,3.183,3.168,2.459,2.284,1.991,29.708,3.621,2.501,3.011,4.239,1.3,19.878,6.162,2.513,1.243,1.141,0.0,71.9,9.321,3.447,0.935,0.0
counts_per_tile_outliers,0.0,5.604,0.905,0.073,0.0,0.0,0.064,11.952,1.123,0.078,0.065,0.082,0.075,10.997,2.079,0.168,0.069,0.049,0.059,24.674,1.603,0.383,0.084,0.078,0.045,26.766,3.677,0.485,0.057,0.07,0.023,65.408,2.217,0.237,0.032,0.029,0.0,165.419,18.263,0.571,0.158,0.018
counts_per_tile_quartiles,0.0,0.135,0.172,0.165,0.104,0.001,0.036,0.22,0.134,0.125,0.073,0.033,0.029,0.14,0.138,0.195,0.111,0.046,0.013,0.191,0.128,0.105,0.121,0.07,0.007,0.203,0.097,0.138,0.117,0.096,0.004,0.077,0.225,0.13,0.107,0.081,0.0,0.131,0.073,0.205,0.115,0.114
counts_per_tile_timewindow_emd,0.0,32.166,5.864,0.932,0.124,0.0,8.281,62.273,20.042,5.466,8.278,5.221,3.554,79.238,16.061,6.191,5.991,5.326,1.52,81.434,29.353,4.989,2.446,3.251,3.449,114.102,32.877,5.377,2.039,2.041,1.968,71.879,29.331,5.469,2.036,2.347,0.0,143.067,67.62,8.972,1.747,0.273
counts_per_tile_timewindow,0.0,0.01,0.004,0.002,0.0,0.0,0.004,0.014,0.008,0.004,0.003,0.003,0.003,0.013,0.009,0.004,0.001,0.002,0.001,0.013,0.009,0.003,0.002,0.002,0.001,0.012,0.01,0.005,0.002,0.001,0.001,0.012,0.007,0.005,0.002,0.001,0.0,0.013,0.007,0.007,0.003,0.001
rel_counts_per_tile_timewindow,0.0,0.01,0.004,0.002,0.0,0.0,0.004,0.012,0.011,0.005,0.003,0.002,0.002,0.013,0.008,0.003,0.001,0.003,0.001,0.013,0.009,0.003,0.002,0.002,0.001,0.013,0.01,0.005,0.002,0.001,0.001,0.01,0.007,0.005,0.002,0.001,0.0,0.011,0.007,0.007,0.003,0.001
od_flows,0.0,0.001,0.001,0.002,0.0,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.001
rel_od_flows,0.0,0.002,0.001,0.002,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.002,0.001,0.002,0.002,0.001
od_flows_all_flows,0.0,0.001,0.001,0.002,0.0,0.0,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.0,0.0,0.002,0.002,0.003,0.001,0.0,0.0,0.002,0.001,0.001,0.002,0.001
rel_od_flows_all_flows,0.0,0.001,0.001,0.002,0.0,0.0,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.001,0.0,0.001,0.002,0.001,0.002,0.001,0.0,0.001,0.002,0.002,0.001,0.0,0.0,0.002,0.002,0.003,0.001,0.0,0.0,0.002,0.001,0.002,0.002,0.001
travel_time_emd,0.0,0.365,0.003,0.0,0.0,0.0,0.021,0.429,0.079,0.027,0.017,0.024,0.009,0.897,0.129,0.013,0.011,0.014,0.006,0.682,0.33,0.004,0.004,0.003,0.004,1.092,0.272,0.004,0.003,0.004,0.003,1.216,0.435,0.004,0.002,0.002,0.0,0.981,0.285,0.405,0.0,0.0
travel_time_outliers,0.0,0.021,0.003,0.0,0.0,0.0,0.002,0.051,0.005,0.002,0.002,0.003,0.002,0.079,0.006,0.002,0.002,0.003,0.001,0.145,0.023,0.003,0.002,0.002,0.001,0.075,0.018,0.004,0.001,0.002,0.001,0.213,0.015,0.002,0.001,0.001,0.0,0.501,0.034,0.004,0.0,0.0
travel_time_quartiles,0.0,0.018,0.0,0.0,0.0,0.0,0.002,0.021,0.019,0.002,0.002,0.002,0.002,0.025,0.023,0.002,0.002,0.002,0.0,0.016,0.023,0.0,0.0,0.0,0.0,0.037,0.015,0.0,0.0,0.0,0.0,0.015,0.021,0.0,0.0,0.0,0.0,0.04,0.011,0.014,0.0,0.0
jump_length_emd,0.0,31.047,3.88,0.319,0.013,0.0,4.002,62.312,7.598,4.759,2.957,4.166,1.654,52.94,7.258,2.938,2.239,2.559,1.104,91.527,19.878,1.569,1.18,0.503,0.588,73.837,18.424,1.353,1.114,0.927,0.393,81.063,31.497,0.968,0.509,0.428,0.0,133.207,37.082,4.406,0.446,0.029
jump_length_outliers,0.0,0.009,0.001,0.0,0.0,0.0,0.001,0.015,0.002,0.001,0.001,0.001,0.002,0.037,0.003,0.002,0.001,0.001,0.001,0.041,0.004,0.001,0.001,0.001,0.001,0.067,0.011,0.001,0.001,0.001,0.001,0.084,0.013,0.001,0.0,0.0,0.0,0.144,0.022,0.001,0.0,0.0
jump_length_quartiles,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.127,0.001,0.001,0.001,0.001,0.0,0.009,0.001,0.001,0.001,0.001,0.0,0.13,0.001,0.0,0.0,0.0,0.0,0.011,0.002,0.0,0.0,0.0,0.0,0.013,0.002,0.0,0.0,0.0,0.0,0.188,0.005,0.0,0.0,0.0
traj_per_user_quartiles,0.0,0.021,0.009,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.01,0.0,0.008,0.0
traj_per_user_outliers,0.0,61.063,13.022,1.578,0.0,0.0,0.0,63.06,3.136,0.483,0.0,0.0,0.0,76.079,9.11,0.699,0.0,0.0,0.0,177.086,3.162,1.08,0.0,0.0,0.0,83.247,5.534,0.483,0.0,0.0,0.0,118.018,6.236,0.422,0.0,0.0,0.0,64.179,9.371,0.972,0.0,0.0
user_time_delta_quartiles,0.0,0.038,0.017,0.009,0.004,0.0,,,,,,,0.011,0.183,0.127,0.009,0.009,0.011,0.004,0.204,0.035,0.014,0.01,0.005,0.0,0.193,0.032,0.013,0.006,0.005,0.0,0.219,0.025,0.015,0.008,0.004,0.0,0.172,0.035,0.027,0.009,0.005
user_time_delta_outliers,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,0.002,0.002,0.003,0.003,0.002,0.012,0.002,0.002,0.002,0.002,0.001,0.022,0.002,0.001,0.001,0.001,0.001,0.035,0.005,0.001,0.001,0.001,0.0,0.061,0.004,0.0,0.0,0.0
radius_gyration_emd,0.0,23.757,16.469,3.56,0.056,0.0,1.523,16.484,2.724,2.543,1.864,2.161,1.325,33.219,6.172,2.121,1.169,1.282,0.49,72.894,3.8,0.494,0.493,0.43,0.285,85.373,9.375,0.551,0.606,0.32,0.189,75.19,6.554,3.652,0.253,0.183,0.0,65.41,11.533,3.604,0.22,0.0
radius_gyration_quartiles,0.0,0.003,0.127,0.169,0.0,0.0,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.164,0.002,0.001,0.0,0.001,0.0,0.169,0.207,0.0,0.0,0.0,0.0,0.007,0.168,0.126,0.0,0.0,0.0,0.006,0.206,0.193,0.0,0.0,0.0,0.004,0.169,0.169,0.0,0.0
