stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_3_e_None,mt_3_e_0.01,mt_3_e_0.1,mt_3_e_1,mt_3_e_10,mt_3_e_100,mt_8_e_None,mt_8_e_0.01,mt_8_e_0.1,mt_8_e_1,mt_8_e_10,mt_8_e_100,mt_28_e_None,mt_28_e_0.01,mt_28_e_0.1,mt_28_e_1,mt_28_e_10,mt_28_e_100,mt_90_e_None,mt_90_e_0.01,mt_90_e_0.1,mt_90_e_1,mt_90_e_10,mt_90_e_100,mt_215_e_None,mt_215_e_0.01,mt_215_e_0.1,mt_215_e_1,mt_215_e_10,mt_215_e_100,mt_2153_e_None,mt_2153_e_0.01,mt_2153_e_0.1,mt_2153_e_1,mt_2153_e_10,mt_2153_e_100
n_records,0.0,0.011,0.0,0.0,0.0,0.0,0.99,0.986,0.99,0.99,0.99,0.99,0.97,0.978,0.971,0.97,0.97,0.97,0.93,0.896,0.928,0.93,0.93,0.93,0.81,0.742,0.829,0.811,0.81,0.81,0.6,0.621,0.534,0.604,0.6,0.6,0.4,1.743,0.449,0.411,0.402,0.4,0.0,4.543,1.114,0.138,0.017,0.001
n_trips,0.0,0.011,0.0,0.0,0.0,0.0,0.99,0.986,0.99,0.99,0.99,0.99,0.97,0.978,0.971,0.97,0.97,0.97,0.93,0.896,0.928,0.93,0.93,0.93,0.81,0.742,0.829,0.811,0.81,0.81,0.6,0.621,0.534,0.604,0.6,0.6,0.4,1.743,0.449,0.411,0.402,0.4,0.0,4.543,1.114,0.138,0.017,0.001
ntrips_double,0.0,0.011,0.0,0.0,0.0,0.0,0.99,0.986,0.99,0.99,0.99,0.99,0.97,0.978,0.971,0.97,0.97,0.97,0.93,0.896,0.928,0.93,0.93,0.93,0.81,0.742,0.829,0.811,0.81,0.81,0.6,0.621,0.534,0.604,0.6,0.6,0.4,1.743,0.449,0.411,0.402,0.4,0.0,4.543,1.114,0.138,0.017,0.001
ntrips_single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_users,0.0,0.829,0.054,0.004,0.0,0.0,0.0,0.519,0.067,0.006,0.001,0.0,0.0,0.704,0.096,0.003,0.0,0.0,0.0,0.514,0.06,0.007,0.0,0.0,0.0,0.271,0.038,0.009,0.0,0.0,0.0,0.425,0.049,0.007,0.0,0.0,0.0,0.584,0.055,0.008,0.0,0.0,0.0,0.714,0.027,0.006,0.0,0.0
n_places,0.0,0.001,0.0,0.0,0.0,0.0,0.99,0.987,0.99,0.99,0.99,0.99,0.97,0.968,0.97,0.97,0.97,0.97,0.93,0.928,0.929,0.93,0.93,0.93,0.81,0.79,0.811,0.812,0.81,0.81,0.59,0.473,0.595,0.592,0.591,0.59,0.4,1.042,0.464,0.396,0.399,0.4,0.0,9.746,0.878,0.094,0.012,0.0
uid,0.0,799.4,26.0,4.7,0.1,0.0,0.0,7.9,63.2,8.1,0.2,0.0,0.0,3616.1,42.2,20.7,0.2,0.1,0.0,970.3,454.8,25.6,3.1,0.2,0.0,14025.7,1819.4,57.9,5.9,0.7,0.0,20003.5,6549.4,437.8,34.6,4.2,0.0,66221.3,4036.5,748.2,139.8,2.3,0.0,1263135.4,50306.8,11706.3,2720.9,63.7
tid,0.0,619.9,56.6,6.4,0.1,0.0,0.0,252.0,46.8,4.5,0.2,0.0,0.0,95.6,223.8,13.2,0.7,0.2,0.0,5514.7,335.5,61.9,3.5,0.4,0.0,7688.1,1511.8,204.7,17.6,0.8,0.0,43004.2,5583.5,454.8,46.6,3.8,0.0,157902.9,13817.1,871.3,204.0,4.9,0.0,752416.6,240843.7,9201.1,1560.8,33.5
datetime,0.0,344.8,43.8,7.2,0.0,0.0,0.0,349.7,36.0,6.4,0.0,0.0,0.0,529.2,79.0,17.6,0.5,0.0,0.0,1751.0,170.1,54.8,4.0,0.6,0.0,9017.5,2318.8,35.0,7.3,1.0,0.0,105010.7,5195.8,217.8,19.5,6.3,0.0,21668.4,15956.3,746.4,77.6,11.1,0.0,631765.6,72135.3,3335.2,1734.1,46.7
lat,0.0,260.4,25.8,4.1,0.9,0.0,0.0,344.1,40.7,2.3,0.2,0.0,0.0,647.3,265.2,28.1,0.7,0.0,0.0,3342.7,555.8,57.8,8.0,0.8,0.0,18378.8,1034.6,126.0,9.1,1.6,0.0,18465.7,8653.1,337.8,60.8,4.8,0.0,69480.4,11963.2,966.0,83.8,21.3,0.0,1561439.2,48797.0,7221.6,1366.8,137.2
lng,0.0,271.4,57.4,6.3,0.5,0.0,0.0,467.8,45.9,7.0,0.1,0.0,0.0,2051.2,120.9,23.9,0.5,0.1,0.0,4222.9,210.6,51.1,9.6,0.5,0.0,19298.0,1296.3,78.2,13.5,0.4,0.0,55992.8,3951.7,410.4,49.3,1.3,0.0,67923.5,21927.7,1100.8,134.8,10.3,0.0,199146.0,134737.2,7786.4,1160.6,69.8
trips_over_time_mre,0.0,0.544,0.178,0.123,0.005,0.0,0.824,0.789,0.778,0.813,0.824,0.824,0.79,0.814,0.773,0.763,0.789,0.791,0.728,0.794,0.761,0.69,0.725,0.729,0.594,0.815,0.776,0.646,0.592,0.594,0.415,0.834,0.801,0.632,0.465,0.423,0.303,0.84,0.813,0.736,0.444,0.324,0.0,0.845,0.841,0.816,0.668,0.294
trips_over_time_quartiles,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001
trips_per_weekday,0.0,0.034,0.004,0.0,0.0,0.0,1.961,1.929,1.961,1.961,1.961,1.961,1.89,1.811,1.887,1.889,1.89,1.89,1.741,1.55,1.749,1.74,1.741,1.741,1.37,1.248,1.363,1.367,1.37,1.37,0.858,1.477,0.956,0.846,0.858,0.859,0.505,1.55,0.995,0.507,0.505,0.504,0.0,1.923,1.606,0.765,0.077,0.008
trips_per_hour,0.0,0.484,0.053,0.005,0.0,0.0,1.955,1.632,1.898,1.954,1.953,1.954,1.878,1.454,1.723,1.871,1.878,1.878,1.725,1.501,1.508,1.702,1.724,1.728,1.351,1.619,1.352,1.363,1.346,1.348,0.83,1.821,1.395,1.017,0.851,0.833,0.481,1.902,1.569,0.961,0.53,0.483,0.0,1.98,1.887,1.543,0.749,0.116
