stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_3_e_None,mt_3_e_0.01,mt_3_e_0.1,mt_3_e_1,mt_3_e_10,mt_3_e_100,mt_8_e_None,mt_8_e_0.01,mt_8_e_0.1,mt_8_e_1,mt_8_e_10,mt_8_e_100,mt_28_e_None,mt_28_e_0.01,mt_28_e_0.1,mt_28_e_1,mt_28_e_10,mt_28_e_100,mt_90_e_None,mt_90_e_0.01,mt_90_e_0.1,mt_90_e_1,mt_90_e_10,mt_90_e_100,mt_215_e_None,mt_215_e_0.01,mt_215_e_0.1,mt_215_e_1,mt_215_e_10,mt_215_e_100,mt_2153_e_None,mt_2153_e_0.01,mt_2153_e_0.1,mt_2153_e_1,mt_2153_e_10,mt_2153_e_100
n_records,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.037,0.003,0.0,0.0,0.0,0.0,0.087,0.009,0.0,0.0,0.0,0.0,0.236,0.038,0.006,0.0,0.0,0.0,0.343,0.132,0.015,0.0,0.0,0.0,1.76,0.284,0.028,0.004,0.0,0.0,5.397,0.835,0.106,0.015,0.003
n_trips,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.037,0.003,0.0,0.0,0.0,0.0,0.087,0.009,0.0,0.0,0.0,0.0,0.236,0.038,0.006,0.0,0.0,0.0,0.343,0.132,0.015,0.0,0.0,0.0,1.76,0.284,0.028,0.004,0.0,0.0,5.397,0.835,0.106,0.015,0.003
ntrips_double,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.037,0.003,0.0,0.0,0.0,0.0,0.087,0.009,0.0,0.0,0.0,0.0,0.236,0.038,0.006,0.0,0.0,0.0,0.343,0.132,0.015,0.0,0.0,0.0,1.76,0.284,0.028,0.004,0.0,0.0,5.397,0.835,0.106,0.015,0.003
ntrips_single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_users,0.0,0.43,0.049,0.005,0.0,0.0,0.0,0.401,0.06,0.005,0.003,0.0,0.0,0.715,0.064,0.005,0.0,0.0,0.0,0.483,0.046,0.008,0.0,0.0,0.0,0.521,0.043,0.01,0.0,0.0,0.0,0.384,0.042,0.007,0.0,0.0,0.0,0.422,0.047,0.009,0.0,0.0,0.0,0.446,0.021,0.007,0.0,0.0
n_places,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.042,0.003,0.0,0.0,0.0,0.0,0.19,0.021,0.004,0.0,0.0,0.0,0.231,0.105,0.008,0.003,0.0,0.0,0.486,0.243,0.022,0.003,0.0,0.0,11.719,0.603,0.091,0.015,0.0
uid,0.0,1265.749,49.953,6.201,0.316,0.0,0.0,24.982,93.963,12.644,0.632,0.0,0.0,4936.972,133.448,26.47,0.632,0.316,0.0,1520.527,734.979,32.332,4.383,0.422,0.0,15038.73,3599.287,130.556,11.855,0.949,0.0,28985.242,8693.019,718.83,45.551,12.934,0.0,121312.571,5395.345,1455.582,192.446,5.122,0.0,1634860.134,91965.477,16874.779,2828.955,133.067
tid,0.0,1035.001,64.284,6.552,0.316,0.0,0.0,607.371,126.812,6.996,0.422,0.0,0.0,154.715,390.657,13.13,1.636,0.422,0.0,9609.406,436.597,123.483,4.625,0.516,0.0,12848.767,1915.642,431.545,20.403,1.619,0.0,66609.433,9459.617,1268.978,121.596,8.297,0.0,237988.234,18910.206,1538.416,213.726,7.637,0.0,1099676.943,156560.115,10970.167,2680.56,44.784
datetime,0.0,487.444,49.975,6.989,0.0,0.0,0.0,533.99,55.205,12.112,0.0,0.0,0.0,758.48,156.325,16.42,0.85,0.0,0.0,3399.57,228.939,90.358,6.992,1.265,0.0,16048.64,4510.518,75.073,22.735,1.886,0.0,114306.204,7373.316,449.927,26.726,8.447,0.0,44434.21,23254.974,1075.625,90.413,12.512,0.0,1183956.448,91744.01,8460.254,1646.245,76.376
lat,0.0,410.714,41.912,7.852,1.287,0.0,0.0,501.874,47.008,4.99,0.422,0.0,0.0,965.011,371.158,40.641,1.337,0.0,0.0,4044.403,946.629,148.218,6.074,1.135,0.0,18450.693,1371.528,202.382,12.627,3.471,0.0,21639.722,12592.859,508.233,71.194,8.404,0.0,91483.093,15551.124,959.087,126.078,31.546,0.0,1494721.208,83785.269,17679.193,2085.142,151.892
lng,0.0,360.674,99.745,15.254,0.85,0.0,0.0,562.634,59.135,9.381,0.316,0.0,0.0,2053.026,254.267,41.097,0.85,0.316,0.0,6446.333,386.039,72.376,10.08,0.972,0.0,45972.447,1510.41,169.953,18.763,0.966,0.0,61947.501,5901.401,434.238,99.159,3.773,0.0,123858.937,34118.606,1492.682,193.257,17.538,0.0,414849.412,157113.386,10838.557,1781.15,102.958
trips_over_time_mre,0.0,0.02,0.013,0.163,0.004,0.0,0.001,0.057,0.042,0.003,0.001,0.001,0.002,0.043,0.058,0.012,0.002,0.001,0.001,0.036,0.058,0.029,0.003,0.001,0.002,0.016,0.032,0.051,0.007,0.003,0.002,0.004,0.028,0.061,0.028,0.005,0.003,0.004,0.017,0.055,0.041,0.009,0.0,0.005,0.007,0.015,0.025,0.025
trips_over_time_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trips_per_weekday,0.0,0.013,0.002,0.0,0.0,0.0,0.0,0.032,0.008,0.001,0.0,0.0,0.0,0.094,0.023,0.002,0.0,0.0,0.0,0.184,0.055,0.004,0.001,0.0,0.001,0.313,0.103,0.012,0.002,0.0,0.001,0.198,0.212,0.031,0.004,0.001,0.001,0.257,0.308,0.061,0.006,0.001,0.0,0.07,0.179,0.263,0.025,0.003
trips_per_hour,0.0,0.036,0.006,0.001,0.0,0.0,0.003,0.044,0.02,0.003,0.003,0.003,0.003,0.083,0.04,0.009,0.003,0.003,0.004,0.057,0.042,0.01,0.005,0.005,0.005,0.057,0.079,0.033,0.01,0.005,0.003,0.031,0.055,0.075,0.019,0.005,0.003,0.021,0.028,0.038,0.027,0.004,0.0,0.01,0.025,0.064,0.086,0.022
counts_per_tile_smape,0.0,0.03,0.033,0.03,0.007,0.0,0.003,0.027,0.025,0.028,0.015,0.004,0.004,0.025,0.024,0.027,0.027,0.006,0.007,0.024,0.025,0.023,0.017,0.009,0.008,0.025,0.018,0.022,0.044,0.018,0.007,0.028,0.029,0.019,0.028,0.025,0.009,0.025,0.02,0.028,0.032,0.032,0.0,0.027,0.02,0.034,0.029,0.018
rel_counts_per_tile_smape,0.0,0.03,0.032,0.03,0.007,0.0,0.007,0.029,0.024,0.021,0.015,0.006,0.007,0.022,0.023,0.023,0.031,0.005,0.007,0.025,0.024,0.024,0.017,0.007,0.007,0.029,0.022,0.021,0.035,0.015,0.006,0.029,0.032,0.016,0.027,0.023,0.009,0.028,0.023,0.03,0.032,0.032,0.0,0.024,0.027,0.035,0.022,0.02
counts_per_tile_emd,0.0,544.948,156.626,45.383,3.786,0.0,144.147,788.514,521.294,527.559,223.675,163.5,61.698,313.299,466.942,499.769,224.67,96.305,37.707,738.885,553.034,407.681,318.482,64.265,23.724,622.57,626.42,467.633,196.506,49.066,20.023,564.429,467.842,477.414,402.181,42.657,14.343,627.697,507.328,793.161,414.044,50.551,0.0,699.701,351.958,521.464,560.187,317.704
counts_per_tile_outliers,0.0,0.043,0.002,0.001,0.0,0.0,0.001,0.021,0.005,0.002,0.002,0.001,0.002,0.057,0.021,0.002,0.004,0.003,0.003,0.204,0.036,0.005,0.003,0.005,0.005,0.731,0.128,0.035,0.004,0.006,0.009,2.93,0.253,0.058,0.007,0.006,0.008,4.592,0.378,0.21,0.011,0.007,0.0,114.176,9.442,0.489,0.093,0.006
counts_per_tile_quartiles,0.0,0.535,0.386,0.167,0.072,0.0,0.001,0.172,0.063,0.003,0.005,0.001,0.001,0.126,0.101,0.0,0.016,0.006,0.002,0.0,0.0,0.086,0.029,0.028,0.001,0.125,0.389,0.332,0.138,0.092,0.002,0.424,0.212,0.003,0.243,0.046,0.008,0.331,0.393,0.23,0.127,0.086,0.0,0.366,0.459,0.393,0.396,0.357
counts_per_tile_timewindow_emd,0.0,104.573,142.349,134.418,14.728,0.0,244.85,111.42,190.272,201.728,785.5,434.215,143.542,177.115,125.436,147.72,258.108,133.046,67.242,139.515,211.138,249.244,193.113,120.969,58.57,128.97,81.919,154.78,167.129,169.412,40.582,184.956,75.821,144.705,93.629,91.182,29.793,61.241,164.202,155.091,152.373,80.56,0.0,136.963,150.243,166.461,170.253,165.568
counts_per_tile_timewindow,0.0,0.008,0.012,0.009,0.001,0.0,0.0,0.011,0.008,0.008,0.001,0.0,0.001,0.006,0.007,0.007,0.003,0.001,0.001,0.005,0.01,0.008,0.011,0.001,0.001,0.008,0.004,0.009,0.011,0.005,0.001,0.008,0.01,0.008,0.011,0.007,0.002,0.008,0.006,0.006,0.007,0.009,0.0,0.007,0.008,0.012,0.006,0.009
rel_counts_per_tile_timewindow,0.0,0.008,0.013,0.009,0.001,0.0,0.0,0.012,0.007,0.007,0.001,0.0,0.001,0.007,0.007,0.007,0.004,0.0,0.001,0.007,0.009,0.009,0.011,0.001,0.001,0.007,0.005,0.01,0.011,0.005,0.001,0.009,0.009,0.008,0.011,0.007,0.002,0.008,0.005,0.008,0.008,0.009,0.0,0.007,0.008,0.013,0.007,0.009
