stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_20_e_None,mt_20_e_0.01,mt_20_e_0.1,mt_20_e_1,mt_20_e_10,mt_20_e_100
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
ntrips_double,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
ntrips_single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_places,0.0,0.154,0.022,0.0,0.0,0.0,0.0,0.203,0.012,0.004,0.0,0.0,0.0,0.297,0.014,0.003,0.0,0.0,0.0,0.322,0.036,0.005,0.0,0.0,0.0,1.097,0.05,0.007,0.0,0.0,0.0,3.966,0.295,0.032,0.004,0.0
uid,0.0,862.922,111.806,6.257,1.524,0.0,0.0,411.955,217.381,6.579,0.483,0.0,0.0,170.131,155.132,17.036,1.476,0.0,0.0,2348.08,470.215,20.273,4.533,0.316,0.0,3854.847,495.418,36.124,1.265,0.699,0.0,8870.596,664.474,65.054,10.772,1.491
tid,0.0,214.768,34.52,18.535,0.483,0.0,0.0,1155.692,89.238,20.343,0.675,0.0,0.0,1383.211,155.286,15.146,2.633,0.0,0.0,1783.994,203.365,41.987,1.912,0.316,0.0,2441.929,786.69,30.614,1.703,0.707,0.0,12691.235,1068.651,113.583,1.897,1.075
datetime,0.0,913.622,148.071,7.172,0.483,0.0,0.0,205.901,34.74,4.894,0.972,0.0,0.0,1827.131,130.439,12.624,0.943,0.316,0.0,3785.604,410.977,38.636,1.703,0.483,0.0,4988.217,443.855,10.39,4.347,0.316,0.0,26072.238,1907.916,74.389,0.316,0.843
lat,0.0,0.299,0.0,0.0,0.0,0.0,0.006,0.569,0.0,0.0,0.0,0.0,0.003,0.101,0.0,0.0,0.0,0.0,0.003,1.448,0.0,0.0,0.0,0.0,0.005,1.877,0.0,0.0,0.0,0.0,0.0,10.521,0.778,0.0,0.0,0.0
